id,generic_name,brand_name,manufacturer,category,subcategory,ndc,price,dosage_form,dosage,description,gene_interactions,stock
11,Cecitabine,Sancecitabine CR,Sanofi,Dermatological,Antiseptic,84044-942-46,171.18,Intravenous Solution,"10 mcg/mL Intravenous Solution, 60 mL bottle. Typical dosing: as directed by physician.","cecitabine is used in the treatment of conditions requiring dermatological therapy.

Mechanism of Action: cecitabine works by counteracting pathological changes in tissue function.

Pharmacokinetics: Well absorbed through transdermal application. Highly protein-bound (approximately 90-95%). Metabolized through multiple pathways with no single dominant route. Elimination rate depends on hepatic function.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Severe renal impairment; Pregnancy and lactation; Severe hepatic impairment.

Common Adverse Effects: Diarrhea, Dizziness, Pruritus, Fatigue, Vomiting.",,698
12,Gemicin,gemicin IR,Alembic Pharmaceuticals,Antibiotic,Penicillin,43149-539-43,39.07,Rectal Suppository,"125 mg Rectal Suppository, 20 units per package. Typical dosing: four times daily.","gemicin is indicated for the treatment of infections caused by susceptible strains of designated microorganisms.

Mechanism of Action: gemicin works by disrupting bacterial cell membrane integrity, leading to cell death.

Pharmacokinetics: Well absorbed through transdermal application. Crosses the blood-brain barrier. Subject to minimal metabolism, with most of the drug excreted unchanged. Clearance is reduced in patients with renal impairment.

Contraindications: Concurrent use of contraindicated medications; Severe hepatic impairment; Known bacterial resistance.

Common Adverse Effects: QT interval prolongation, Photosensitivity, Antibiotic-associated diarrhea, Fatigue, Diarrhea, Abdominal pain, Allergic reactions.",,571
13,Stacitabine,stacitabine SR,Dr. Reddy's,Antiparasitic,Antihelminthic,52375-358-28,24.58,Powder for Reconstitution,"50 mg Powder for Reconstitution, 100 units per package. Typical dosing: as directed by physician.","stacitabine belongs to the class of antihelminthic agents within the antiparasitic category.

Mechanism of Action: stacitabine works by counteracting pathological changes in tissue function.

Pharmacokinetics: Bioavailability is approximately 60-80% after oral administration. Distribution limited primarily to the vascular compartment. Undergoes conjugation reactions in the liver. Excreted in urine as metabolites.

Contraindications: Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation.

Common Adverse Effects: Diarrhea, Nausea, Fatigue, Dizziness.",CYP3A4,475
14,Stafenac,stafenac HCl,Zydus Cadila,Hormonal,Oxytocic,80359-546-21,81.4,Syrup,"0.15 mg/5mL Syrup, 480 mL bottle. Typical dosing: three times daily.","stafenac is used in the treatment of conditions requiring hormonal therapy.

Mechanism of Action: stafenac works by binding to specific receptors in target tissues.

Pharmacokinetics: Well absorbed through transdermal application. Distribution limited primarily to the vascular compartment. Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Excreted in urine as metabolites.

Contraindications: Severe renal impairment; Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment; Pregnancy and lactation.

Common Adverse Effects: Headache, Nausea, Dizziness, Rash, Fatigue.",,290
15,Enlukast,Pfienlukast Hydrochloride D,Pfizer,Dermatological,Antifungal,26049-148-91,56.56,Ophthalmic Ointment,"15.0 mg/g Ophthalmic Ointment, 50 g tube. Typical dosing: three times daily.","enlukast is indicated for therapeutic applications related to dermatological conditions.

Mechanism of Action: enlukast works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Widely distributed throughout body tissues. Metabolized through multiple pathways with no single dominant route. Elimination rate depends on hepatic function.

Contraindications: Severe renal impairment; Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment; Pregnancy and lactation.

Common Adverse Effects: Dizziness, Nausea, Abdominal pain, Pruritus, Headache, Fatigue, Diarrhea.",MTHFR,279
16,Esridone,Bioesridone D,Biocon,Central Nervous System,Opioid,38128-172-88,42.35,Sublingual Tablet,"15.0 mg Sublingual Tablet, 14 Sublingual Tablets per bottle. Typical dosing: as needed for pain.","esridone helps restore the balance of certain natural substances in the brain, improving mood, thoughts, and behavior.

Mechanism of Action: esridone works by enhancing GABAergic neurotransmission, producing anxiolytic and sedative effects.

Pharmacokinetics: Absorption is enhanced when taken with food. Moderately protein-bound (approximately 60-80%). Metabolized to active metabolites that contribute to the therapeutic effect. Eliminated through both renal and biliary routes.

Contraindications: Angle-closure glaucoma; Concomitant use of monoamine oxidase inhibitors; Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment.

Common Adverse Effects: Nausea, Abdominal pain, Headache, Vomiting.","MTHFR,CYP2E1,CYP2D6",480
17,Sivastatin,sivastatin Sodium,Serum Institute,Dermatological,Keratolytic,29097-305-85,26.01,Topical Cream,"40.0 mg/g Topical Cream, 5 g tube. Typical dosing: three times daily.","sivastatin belongs to the class of keratolytic agents within the dermatological category.

Mechanism of Action: sivastatin works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Absorption is pH-dependent, optimized in acidic environment. Moderately protein-bound (approximately 60-80%). Metabolism shows significant inter-individual variability. Excreted in urine as metabolites.

Contraindications: Pregnancy and lactation; Severe hepatic impairment; Severe renal impairment.

Common Adverse Effects: Abdominal pain, Vomiting, Dizziness, Fatigue, Headache, Diarrhea, Rash.","CFTR,CYP1A2,BCHE",436
18,Siparib,siparib CR,Alkem Laboratories,Central Nervous System,Antipyretic,88064-759-71,200.7,Chewable Tablet,"5.0 mg Chewable Tablet, 10 Chewable Tablets per bottle. Typical dosing: as needed for pain.","siparib is a antipyretic that acts on the central nervous system to treat conditions such as depression, anxiety, or seizures.

Mechanism of Action: siparib works by enhancing GABAergic neurotransmission, producing anxiolytic and sedative effects.

Pharmacokinetics: Slowly absorbed after oral administration. Does not significantly penetrate the blood-brain barrier. Metabolized to active metabolites that contribute to the therapeutic effect. Short half-life of 2-4 hours requiring multiple daily dosing.

Contraindications: Seizure disorders; Recent myocardial infarction; Concomitant use of monoamine oxidase inhibitors.

Common Adverse Effects: Pruritus, Nausea, Headache, Insomnia, Memory impairment, Fatigue.",UGT1A1,624
19,Broglitazone,Glebroglitazone,Glenmark,Ophthalmological,Mydriatic,91518-760-38,65.06,Vaginal Cream,"25 mg Vaginal Cream, 60 g tube. Typical dosing: three times daily.","broglitazone is a mydriatic medication classified under ophthalmological drugs.

Mechanism of Action: broglitazone works by inhibiting key enzymes in pathological processes.

Pharmacokinetics: Rapidly absorbed from the gastrointestinal tract. Distribution limited primarily to the vascular compartment. Undergoes conjugation reactions in the liver. Eliminated primarily via renal excretion of unchanged drug.

Contraindications: Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation.

Common Adverse Effects: Rash, Fatigue, Nausea, Headache, Dizziness, Pruritus, Vomiting.",,181
20,Geoxacin,SI-geoxacin Maleate,Serum Institute,Immunological,Immunosuppressant,68992-183-52,114.65,Lozenges,"100 mg Lozenges, 100 units per package. Typical dosing: as directed by physician.","geoxacin is used in the treatment of conditions requiring immunological therapy.

Mechanism of Action: geoxacin works by inhibiting key enzymes in pathological processes.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Distribution limited primarily to the vascular compartment. Metabolized to active metabolites that contribute to the therapeutic effect. Elimination rate depends on hepatic function.

Contraindications: Pregnancy and lactation; Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients; Severe renal impairment.

Common Adverse Effects: Abdominal pain, Headache, Fatigue, Dizziness, Rash, Pruritus.","HLA-B*1502,CYP3A4",464
21,Cipril,cipril IV,Biocon,Central Nervous System,Antipyretic,91251-310-52,122.26,Ophthalmic Solution,"0.025 % Ophthalmic Solution, 100 mL bottle. Typical dosing: as needed for pain.","cipril helps restore the balance of certain natural substances in the brain, improving mood, thoughts, and behavior.

Mechanism of Action: cipril works by inhibiting monoamine oxidase, increasing levels of monoamine neurotransmitters.

Pharmacokinetics: Well absorbed through transdermal application. Crosses the blood-brain barrier. Metabolized via non-CYP450 pathways. Elimination rate depends on hepatic function.

Contraindications: Suicidal ideation; Angle-closure glaucoma; Severe renal impairment; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Rash, Tremor, Dizziness, Anxiety.",,685
22,Fisartan,fisartan,Novartis,Musculoskeletal,Muscle Relaxant,15891-579-60,51.8,Tablet,"200 mg Tablet, 90 Tablets per bottle. Typical dosing: as directed by physician.","fisartan is used in the treatment of conditions requiring musculoskeletal therapy.

Mechanism of Action: fisartan works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Well absorbed through transdermal application. Does not significantly penetrate the blood-brain barrier. Metabolized through multiple pathways with no single dominant route. Eliminated primarily via renal excretion of unchanged drug.

Contraindications: Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation; Severe renal impairment.

Common Adverse Effects: Rash, Nausea, Fatigue, Abdominal pain, Pruritus, Vomiting.",UGT1A1,252
23,Rotate,rotate,Glenmark,Gastrointestinal,Prokinetic,30250-392-60,52.88,Inhalation Solution,"50 mcg/mL Inhalation Solution, 30 mL bottle. Typical dosing: once daily.","rotate is a prokinetic used in the treatment of acid-related gastrointestinal disorders.

Mechanism of Action: rotate works by forming a protective barrier over inflamed areas in the gastrointestinal tract.

Pharmacokinetics: Absorption is pH-dependent, optimized in acidic environment. Does not significantly penetrate the blood-brain barrier. Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Prolonged half-life allowing once-daily dosing.

Contraindications: Gastrointestinal perforation; Hypersensitivity to the active substance or any of the excipients; Gastrointestinal obstruction; Severe renal impairment.

Common Adverse Effects: Rash, Dizziness, Nausea, Dyspepsia, Dry mouth, Increased appetite, Pruritus.",,370
24,Nathiazide,nathiazide Sodium HCl,Regeneron,Dermatological,Antifungal,95888-686-15,127.09,Topical Gel,"0.025 % Topical Gel, 30 g tube. Typical dosing: three times daily.","nathiazide belongs to the class of antifungal agents within the dermatological category.

Mechanism of Action: nathiazide works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Distribution limited primarily to the vascular compartment. Metabolized via non-CYP450 pathways. Elimination rate depends on hepatic function.

Contraindications: Severe hepatic impairment; Pregnancy and lactation; Hypersensitivity to the active substance or any of the excipients; Severe renal impairment.

Common Adverse Effects: Headache, Diarrhea, Abdominal pain, Rash.",DPYD,656
25,Rocaine,IP-rocaine,Intas Pharmaceuticals,Gastrointestinal,Antispasmodic,81424-859-85,159.23,Ophthalmic Ointment,"40 mg/g Ophthalmic Ointment, 10 g tube. Typical dosing: three times daily.","rocaine is indicated for the treatment of various gastrointestinal motility disorders and functional gastrointestinal syndromes.

Mechanism of Action: rocaine works by blocking dopamine D2 receptors in the chemoreceptor trigger zone, providing antiemetic effects.

Pharmacokinetics: Absorption is pH-dependent, optimized in acidic environment. Does not significantly penetrate the blood-brain barrier. Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Terminal half-life of approximately 12-24 hours.

Contraindications: Severe renal impairment; Pregnancy and lactation; Active gastrointestinal bleeding; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Abdominal pain, Dizziness, Diarrhea, Vomiting, Increased appetite, Dry mouth.",,282
26,Brotuximab,brotuximab HCT,Sanofi,Ophthalmological,Miotic,68253-854-98,56.33,Vaginal Suppository,"5 mg Vaginal Suppository, 10 units per package. Typical dosing: as directed by physician.","brotuximab is indicated for therapeutic applications related to ophthalmological conditions.

Mechanism of Action: brotuximab works by inhibiting key enzymes in pathological processes.

Pharmacokinetics: Well absorbed through transdermal application. Accumulates in adipose tissue due to lipophilic properties. Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Excreted in urine as metabolites.

Contraindications: Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients; Severe renal impairment; Pregnancy and lactation.

Common Adverse Effects: Pruritus, Abdominal pain, Fatigue, Nausea, Headache, Rash.",,707
27,Vetriptan,vetriptan Calcium Plus,Amgen,Ophthalmological,Antiglaucoma,86089-794-17,127.35,Oral Suspension,"200 mcg/mL Oral Suspension, 240 mL bottle. Typical dosing: once daily.","vetriptan is a antiglaucoma medication classified under ophthalmological drugs.

Mechanism of Action: vetriptan works by binding to specific receptors in target tissues.

Pharmacokinetics: Well absorbed through transdermal application. Does not significantly penetrate the blood-brain barrier. Metabolism shows significant inter-individual variability. Prolonged half-life allowing once-daily dosing.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment; Severe renal impairment; Pregnancy and lactation.

Common Adverse Effects: Headache, Rash, Dizziness, Vomiting, Nausea, Pruritus, Abdominal pain.","CYP3A4,MTHFR",585
28,Nofibrate,nofibrate D,Glenmark,Respiratory,Mucolytic,30638-894-21,93.43,Rectal Suppository,"20 mg Rectal Suppository, 50 units per package. Typical dosing: every 4-6 hours as needed.","nofibrate is a mucolytic indicated for the treatment of asthma and chronic obstructive pulmonary disease (COPD).

Mechanism of Action: nofibrate works by inhibiting phosphodiesterase enzymes, resulting in bronchodilation and anti-inflammatory effects.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Highly protein-bound (approximately 90-95%). Metabolized via non-CYP450 pathways. Elimination rate depends on hepatic function.

Contraindications: Severe hepatic impairment; Pregnancy and lactation; Severe COPD with respiratory insufficiency; Severe renal impairment; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Cough, Increased sputum production, Headache, Rhinitis, Dyspnea, Dizziness, Fatigue.",,489
29,Esplatin,esplatin,AstraZeneca,Dermatological,Antiseptic,65238-542-68,122.48,Topical Cream,"1.0 % Topical Cream, 50 g tube. Typical dosing: as directed by physician.","esplatin is a antiseptic medication classified under dermatological drugs.

Mechanism of Action: esplatin works by counteracting pathological changes in tissue function.

Pharmacokinetics: Absorption is enhanced when taken with food. Crosses the blood-brain barrier. Undergoes conjugation reactions in the liver. Clearance is reduced in patients with renal impairment.

Contraindications: Pregnancy and lactation; Severe renal impairment; Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Abdominal pain, Rash, Headache, Nausea, Fatigue, Dizziness, Pruritus.",,602
30,Enfloxacin,Gleenfloxacin Nitrate,Glenmark,Antibiotic,Carbapenem,56029-687-88,82.55,Vaginal Suppository,"100 mg Vaginal Suppository, 10 units per package. Typical dosing: twice daily.","enfloxacin is a broad-spectrum antibiotic used to treat various bacterial infections throughout the body.

Mechanism of Action: enfloxacin works by inhibiting DNA gyrase and topoisomerase IV, preventing bacterial DNA replication.

Pharmacokinetics: Absorption is reduced when taken with food. Low protein binding (<30%). Metabolized via non-CYP450 pathways. Prolonged half-life allowing once-daily dosing.

Contraindications: Known bacterial resistance; Hypersensitivity to the active substance or any of the excipients; Myasthenia gravis (for certain antibiotic classes); Severe hepatic impairment; Concurrent use of contraindicated medications.

Common Adverse Effects: Vomiting, Abdominal pain, Antibiotic-associated diarrhea, Nausea, Headache, Photosensitivity.",,302
31,Gegliptin,gegliptin HCl,Genentech,Antiviral,Nucleoside Analog,20703-963-13,849.63,Extended-Release Tablet,"5 mcg Extended-Release Tablet, 60 Extended-Release Tablets per bottle. Typical dosing: once daily.","gegliptin is a nucleoside analog medication classified under antiviral drugs.

Mechanism of Action: gegliptin works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Slowly absorbed after oral administration. Highly protein-bound (approximately 90-95%). Subject to minimal metabolism, with most of the drug excreted unchanged. Terminal half-life of approximately 12-24 hours.

Contraindications: Severe hepatic impairment; Pregnancy and lactation; Hypersensitivity to the active substance or any of the excipients; Severe renal impairment.

Common Adverse Effects: Dizziness, Fatigue, Nausea, Abdominal pain, Headache, Rash.",,719
32,Cafenac,cafenac IR,Roche,Central Nervous System,Antidepressant,84301-458-45,157.13,Vaginal Tablet,"300.0 mg Vaginal Tablet, 180 Vaginal Tablets per bottle. Typical dosing: at bedtime.","cafenac helps restore the balance of certain natural substances in the brain, improving mood, thoughts, and behavior.

Mechanism of Action: cafenac works by binding to opioid receptors, modulating pain perception pathways.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Does not significantly penetrate the blood-brain barrier. Undergoes conjugation reactions in the liver. Eliminated through both renal and biliary routes.

Contraindications: Seizure disorders; Pregnancy and lactation; Severe renal impairment; Suicidal ideation; Recent myocardial infarction.

Common Adverse Effects: Paresthesia, Anxiety, Confusion, Somnolence.",,415
33,Gemustine,gemustine Calcium D,Teva Pharmaceutical,Dermatological,Antibiotic,78069-391-58,145.04,Topical Ointment,"2.5 % Topical Ointment, 5 g tube. Typical dosing: three times daily.","gemustine belongs to the class of antibiotic agents within the dermatological category.

Mechanism of Action: gemustine works by counteracting pathological changes in tissue function.

Pharmacokinetics: Rapidly absorbed from the gastrointestinal tract. Does not significantly penetrate the blood-brain barrier. Undergoes conjugation reactions in the liver. Clearance is reduced in patients with renal impairment.

Contraindications: Severe renal impairment; Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation.

Common Adverse Effects: Fatigue, Vomiting, Pruritus, Abdominal pain, Diarrhea, Rash, Headache.",BCHE,567
34,Miafil,miafil,Celgene,Antiviral,CCR5 Antagonist,99771-805-12,944.19,Powder for Reconstitution,"50 mg Powder for Reconstitution, 20 units per package. Typical dosing: three times daily.","miafil belongs to the class of ccr5 antagonist agents within the antiviral category.

Mechanism of Action: miafil works by inhibiting key enzymes in pathological processes.

Pharmacokinetics: Absorption is enhanced when taken with food. Low protein binding (<30%). Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Excreted in urine as metabolites.

Contraindications: Pregnancy and lactation; Severe renal impairment; Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment.

Common Adverse Effects: Abdominal pain, Dizziness, Nausea, Fatigue, Diarrhea, Rash.",,664
35,Figliptin,figliptin Sodium,Torrent Pharmaceuticals,Antidiabetic,SGLT2 Inhibitor,50884-668-79,133.21,Tablet,"0.5 g Tablet, 30 Tablets per bottle. Typical dosing: with meals.","figliptin is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes.

Mechanism of Action: figliptin works by increasing tissue sensitivity to insulin and reducing hepatic glucose production.

Pharmacokinetics: Absorption is reduced when taken with food. Moderately protein-bound (approximately 60-80%). Metabolized to active metabolites that contribute to the therapeutic effect. Excreted in urine as metabolites.

Contraindications: Pregnancy and lactation; Hypersensitivity to the active substance or any of the excipients; Severe renal impairment (GFR < 30 mL/min); Severe hepatic impairment.

Common Adverse Effects: Lactic acidosis, Urinary tract infections, Headache, Diarrhea, Nausea, Peripheral edema, Fatigue.",,919
36,Meolol,meolol,Eli Lilly,Ophthalmological,Lubricant,41345-230-94,148.12,Inhalation Powder,"10 mcg/dose Inhalation Powder, 60 doses per inhaler. Typical dosing: as directed by physician.","meolol is indicated for therapeutic applications related to ophthalmological conditions.

Mechanism of Action: meolol works by enhancing physiological defense mechanisms.

Pharmacokinetics: Well absorbed through transdermal application. Highly protein-bound (approximately 90-95%). Subject to minimal metabolism, with most of the drug excreted unchanged. Short half-life of 2-4 hours requiring multiple daily dosing.

Contraindications: Severe hepatic impairment; Pregnancy and lactation; Hypersensitivity to the active substance or any of the excipients; Severe renal impairment.

Common Adverse Effects: Abdominal pain, Fatigue, Nausea, Dizziness, Diarrhea, Headache.",,408
37,Fluparib,fluparib Oral,Piramal Healthcare,Immunological,Immunosuppressant,18627-971-91,391.72,Ophthalmic Ointment,"200 mg/g Ophthalmic Ointment, 15 g tube. Typical dosing: three times daily.","fluparib belongs to the class of immunosuppressant agents within the immunological category.

Mechanism of Action: fluparib works by enhancing physiological defense mechanisms.

Pharmacokinetics: Well absorbed through transdermal application. Crosses the blood-brain barrier. Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Terminal half-life of approximately 12-24 hours.

Contraindications: Pregnancy and lactation; Severe hepatic impairment; Severe renal impairment; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Fatigue, Pruritus, Rash, Dizziness, Abdominal pain.",,687
38,Moconazole,moconazole Plus,Eli Lilly,Antiparasitic,Antiprotozoal,90293-895-95,15.78,Sublingual Tablet,"10 mg Sublingual Tablet, 100 Sublingual Tablets per bottle. Typical dosing: as directed by physician.","moconazole belongs to the class of antiprotozoal agents within the antiparasitic category.

Mechanism of Action: moconazole works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Rapidly absorbed from the gastrointestinal tract. Accumulates in adipose tissue due to lipophilic properties. Subject to minimal metabolism, with most of the drug excreted unchanged. Clearance is reduced in patients with renal impairment.

Contraindications: Severe renal impairment; Pregnancy and lactation; Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Dizziness, Pruritus, Vomiting, Fatigue, Diarrhea.",,610
